"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2015","1,646.76","1,661.21","1,661.48","1,646.76","5.62K","-0.29%"
"Nov 20, 2015","1,651.56","1,642.20","1,657.14","1,638.44","6.37K","1.02%"
"Nov 19, 2015","1,634.91","1,629.34","1,636.50","1,623.73","7.62K","1.44%"
"Nov 18, 2015","1,611.73","1,610.05","1,623.38","1,609.14","7.72K","0.30%"
"Nov 17, 2015","1,606.84","1,598.89","1,616.66","1,598.89","5.65K","1.51%"
"Nov 16, 2015","1,582.94","1,586.40","1,593.53","1,580.61","5.83K","-1.43%"
"Nov 13, 2015","1,605.93","1,599.28","1,618.38","1,598.76","6.77K","-0.40%"
"Nov 12, 2015","1,612.33","1,614.15","1,618.15","1,605.65","6.10K","-0.30%"
"Nov 11, 2015","1,617.25","1,597.90","1,623.22","1,592.69","9.26K","1.02%"
"Nov 10, 2015","1,600.93","1,622.46","1,622.62","1,584.50","11.91K","-2.19%"
"Nov 09, 2015","1,636.77","1,647.90","1,649.03","1,625.51","8.58K","-0.90%"
"Nov 06, 2015","1,651.58","1,679.03","1,679.77","1,649.00","10.96K","-1.81%"
"Nov 05, 2015","1,682.07","1,673.78","1,684.90","1,673.78","6.39K","0.49%"
"Nov 04, 2015","1,673.91","1,684.20","1,692.17","1,672.44","9.63K","-0.36%"
"Nov 03, 2015","1,679.99","1,696.81","1,700.89","1,672.55","9.98K","-0.65%"
"Nov 02, 2015","1,691.00","1,661.25","1,691.43","1,659.01","10.46K","1.89%"
"Oct 30, 2015","1,659.68","1,655.31","1,665.76","1,647.66","10.76K","0.23%"
"Oct 29, 2015","1,655.79","1,665.53","1,677.11","1,652.41","13.81K","1.10%"
"Oct 28, 2015","1,637.79","1,636.83","1,645.67","1,631.56","13.46K","0.24%"
"Oct 27, 2015","1,633.88","1,625.17","1,649.19","1,625.00","19.80K","0.18%"
"Oct 26, 2015","1,630.97","1,639.11","1,639.11","1,629.71","8.22K","0.13%"
"Oct 23, 2015","1,628.91","1,651.52","1,652.23","1,627.64","10.88K","-0.30%"
"Oct 22, 2015","1,633.78","1,664.85","1,664.85","1,633.78","15.61K","-1.49%"
"Oct 21, 2015","1,658.49","1,675.87","1,675.87","1,655.16","14.14K","-1.73%"
"Oct 20, 2015","1,687.61","1,689.86","1,693.33","1,679.20","7.49K","0.25%"
"Oct 19, 2015","1,683.38","1,695.39","1,698.37","1,679.04","5.95K","-0.47%"
"Oct 16, 2015","1,691.28","1,706.14","1,706.14","1,691.28","6.12K","-0.58%"
"Oct 15, 2015","1,701.07","1,670.04","1,702.33","1,669.47","8.59K","1.61%"
"Oct 14, 2015","1,674.15","1,672.61","1,677.88","1,659.35","7.32K","0.16%"
"Oct 13, 2015","1,671.49","1,683.86","1,686.45","1,665.69","6.93K","-0.72%"
"Oct 12, 2015","1,683.53","1,691.23","1,691.23","1,675.69","9.14K","-0.45%"
"Oct 08, 2015","1,691.11","1,708.68","1,719.63","1,676.96","8.70K","-0.42%"
"Oct 07, 2015","1,698.30","1,660.28","1,699.87","1,658.70","14.35K","3.62%"
"Oct 06, 2015","1,638.95","1,640.74","1,647.19","1,635.61","10.41K","1.60%"
"Oct 05, 2015","1,613.07","1,609.99","1,624.84","1,609.07","9.79K","1.25%"
"Oct 02, 2015","1,593.17","1,606.53","1,607.92","1,589.00","7.37K","-0.84%"
"Oct 01, 2015","1,606.64","1,603.26","1,615.15","1,595.20","7.04K","1.12%"
"Sep 30, 2015","1,588.81","1,569.17","1,589.16","1,566.95","8.47K","-0.41%"
"Sep 25, 2015","1,595.43","1,604.51","1,607.04","1,578.90","6.99K","-0.58%"
"Sep 24, 2015","1,604.66","1,628.76","1,631.47","1,603.39","8.94K","-1.05%"
"Sep 23, 2015","1,621.67","1,637.49","1,645.08","1,621.67","7.18K","-2.15%"
"Sep 22, 2015","1,657.28","1,655.59","1,663.79","1,644.68","5.45K","0.37%"
"Sep 21, 2015","1,651.21","1,667.06","1,670.50","1,650.60","5.89K","-2.36%"
"Sep 18, 2015","1,691.08","1,675.43","1,695.39","1,665.37","7.99K","1.04%"
"Sep 17, 2015","1,673.66","1,679.97","1,682.07","1,667.94","9.52K","0.18%"
"Sep 16, 2015","1,670.61","1,647.81","1,677.01","1,646.23","9.49K","2.25%"
"Sep 15, 2015","1,633.80","1,637.46","1,643.09","1,620.40","6.79K","-0.49%"
"Sep 14, 2015","1,641.78","1,664.99","1,670.43","1,631.24","5.70K","-0.78%"
